Libellé produit,Univers,Nature,Couleurs détectées,Dimensions,embedding,sim_univers,sim_nature,univers_suspect,nature_suspect,Univers suggéré,sim_uni_best,Nature suggérée,sim_nat_best
bureau enfant a motifs cage foot 50cm blanc,Bureau Rangement,Bureau,['blanc'],['50cm'],"[-0.02209198 -0.01752187  0.03406836 ...  0.0112093   0.0283005
 -0.03935823]",0.38238358,0.41470194,False,False,Bureau Rangement,0.3823835849761963,Bureau,0.44388312101364136
papier peint intisse palme feuilles 1005 x 52cm blanc,Décoration Textile,Papier peint,['blanc'],"['1005 x 52cm', '52cm']","[-0.0063726  -0.04307331  0.01912761 ... -0.02697055  0.06009282
  0.04134735]",0.29212606,0.6182061,False,False,Décoration Textile,0.2921260595321655,Papier peint,0.6182060837745667
samsung galaxy j1 2016 sm j120f 4 5 4g 1gb 8gb 2050mah or,TV Son Multimédia,Smartphone,['doré'],,"[ 0.02734769  0.03186367  0.01154302 ... -0.0163944  -0.0236065
  0.02078052]",0.12548809,0.13401741,False,True,TV Son Multimédia,0.12548808753490448,Smartphone,0.1877467930316925
meuble porte serviettes,Cuisine Salle de bain,Porte serviette,,,[0.00575861 0.04149417 0.0128409  ... 0.011407   0.04428225 0.03685642],0.22091675,0.82725847,False,False,Cuisine Salle de bain,0.38494163751602173,Porte serviette,0.8272584676742554
plaid deco microfibre 130x180cm taupe,Décoration Textile,Plaid,['beige'],['130x180cm'],"[ 0.01111748  0.00889348  0.0263189  ... -0.06243229 -0.01742047
  0.01795039]",0.36902297,0.5651472,False,False,Décoration Textile,0.3690229654312134,Plaid,0.5651472210884094
vitaeasy miroir 16 led touche tactile miroir grossissant x10,Décoration Textile,Miroir,,,"[ 0.01940337 -0.00579514  0.01900859 ... -0.00226749 -0.03217575
  0.0375043 ]",0.08535914,0.3926242,False,False,Décoration Textile,0.189388707280159,Miroir,0.3926241993904114
taie oreiller ethan 2 65x65 2 cm rose bleu blanc,Décoration Textile,Taie d'oreiller,"['rose', 'blanc', 'bleu']","['65x65', '2 cm']","[-0.02669449  0.03394654  0.01078642 ... -0.00071143  0.04850927
 -0.02190571]",0.18054724,0.54222167,False,False,Décoration Textile,0.18887457251548767,Taie d'oreiller,0.5422216653823853
futon 160x200 coton ouate hypoallergenique gris anthracite,Chambre Literie,Matelas,['gris'],['160x200'],"[-0.03353694  0.01564763  0.05811038 ...  0.00017262 -0.03329661
 -0.01266752]",0.17223814,0.29518586,False,False,Chambre Literie,0.17223814129829407,Matelas,0.35043519735336304
melia pouf capitonne rond velours coloris jaune style design contemporain,Canapé Salon Séjour,Pouf / repose pied,['jaune'],,"[ 0.04714972 -0.00835327 -0.00572185 ... -0.02204197 -0.02009439
 -0.01584862]",0.34038913,0.37013218,False,False,Canapé Salon Séjour,0.3535457253456116,Pouf / repose pied,0.502200722694397
lit coffre torino 160x200 1 sommier blanc,Chambre Literie,Lit adulte,['blanc'],['160x200'],"[-0.00384726  0.02930714 -0.0135368  ... -0.00783954 -0.00448042
 -0.03714038]",0.4709862,0.4310223,False,False,Chambre Literie,0.47098618745803833,Lit adulte,0.5465399026870728
lave linge frontal bosch waj24007ff,Gros Electroménager,Lave linge,,,"[ 0.0341151   0.05187358  0.03711481 ... -0.04924723  0.05557757
 -0.01436944]",0.18578804,0.4785188,False,False,Gros Electroménager,0.26790904998779297,Lave linge,0.4785188138484955
canape convertible scandinave tao tissu beige,Canapé Salon Séjour,Canape droit,['beige'],,"[ 0.02915006  0.03471296 -0.00370582 ... -0.02450748  0.01314359
 -0.04644593]",0.5119269,0.60195297,False,False,Canapé Salon Séjour,0.5119268894195557,Canape droit,0.602001428604126
e com meuble tv armoire tele table television utah 100 cm blanc,Canapé Salon Séjour,Meuble tv,['blanc'],['100 cm'],"[ 0.03947368  0.00915563  0.0482397  ... -0.00181505 -0.0213648
 -0.08377191]",0.26055676,0.63016796,False,False,Canapé Salon Séjour,0.46811309456825256,Meuble tv,0.6301679611206055
housse rangement sous vide grande capacite pompe lot 9 pcs,Bureau Rangement,Housse de rangement,,,"[ 0.00261693  0.03960541  0.05880916 ... -0.00809768 -0.01130974
 -0.00930553]",0.31211928,0.58283365,False,False,Bureau Rangement,0.3469446897506714,Housse de rangement,0.5828336477279663
derouleur essuie tout pvc 3 rouleaux blanc 44x9xh 21cm superline plastic,Décoration Textile,Ustensiles,['blanc'],['21cm'],"[ 0.01213419 -0.03661539 -0.01598183 ... -0.0434161   0.01944604
 -0.00990407]",0.273619,0.1807583,False,False,Décoration Textile,0.27361899614334106,Ustensiles,0.5093371868133545
porto s1 commode tendance meuble rangement chambre salon 140x40x98 4 tiroirs 2 portes finition gloss buffet sejour,Chambre Literie,Commode,,,"[ 0.02680153 -0.02542624  0.02183246 ...  0.01936547  0.00212805
  0.00121117]",0.33809862,0.30773222,False,False,Chambre Literie,0.35879379510879517,Commode,0.5053354501724243
e com meuble tv armoire tele table television bolt 95 cm blanc gris,Canapé Salon Séjour,Meuble tv,"['blanc', 'gris']",['95 cm'],"[ 0.0482908   0.01290018  0.03428409 ... -0.00434406 -0.02346356
 -0.06530944]",0.19769782,0.5672362,False,False,Canapé Salon Séjour,0.3816869854927063,Meuble tv,0.5672361850738525
trotteur bebe musical evolutif pliable reglable hauteur noir,Enfant Bébé,Trotteur,['noir'],,"[-0.00599859  0.03788245 -0.03505645 ...  0.00607911 -0.00739903
  0.00201391]",0.28610894,0.38994697,False,False,Enfant Bébé,0.28610894083976746,Trotteur,0.4530583620071411
tosel aurinko lampadaire 1 lumiere noir,Décoration Textile,Lampadaire,['noir'],,"[ 0.03802957  0.0441947  -0.00049097 ...  0.02563418 -0.00200547
 -0.0276186 ]",0.085271895,0.58737636,False,False,Décoration Textile,0.17952299118041992,Lampadaire,0.5873763561248779
lampe a poser geri grise blanche ceramique,Décoration Textile,Lampe,['gris'],,"[ 0.05919766  0.02923349 -0.00711975 ...  0.04479666  0.00387968
  0.01500513]",0.08121949,0.33952203,False,False,Décoration Textile,0.16386699676513672,Lampe,0.33952203392982483
refrigerateurs combines inverses haier hdr3619fnpb,Gros Electroménager,Refrigerateur,,,"[ 0.01454164  0.03999662  0.02242825 ... -0.03990996  0.08230621
 -0.03248895]",0.16440147,0.5569209,False,False,Gros Electroménager,0.1772157996892929,Refrigerateur,0.5569208860397339
gaufrier machine a gauffre argent fonctions peut cuire 4 gaufres simultanement,Petit Electroménager,Gaufrier,['argenté'],,"[ 0.02959128  0.06293404  0.02243418 ... -0.00678855  0.02554251
 -0.00848362]",0.091340475,0.33435655,False,False,Petit Electroménager,0.1578325629234314,Gaufrier,0.5436541438102722
set table 33x45 coton imp saliere rouge,Décoration Textile,Linge de table,['rouge'],['33x45'],"[ 0.02653954 -0.01131757  0.0295441  ...  0.00431302  0.01505354
  0.00395254]",0.27737522,0.43566656,False,False,Décoration Textile,0.2773752212524414,Linge de table,0.45141369104385376
vidaxl meuble tv 118 x 30 x 40 cm bois manguier massif,Canapé Salon Séjour,Meuble tv,,"['118 x 30', '40 cm']","[ 0.02612718  0.03426774  0.04168535 ... -0.01928436 -0.01588892
  0.01348149]",0.28592074,0.51779395,False,False,Canapé Salon Séjour,0.28592073917388916,Meuble tv,0.5177939534187317
cale bebe coussin morphologique respirant lovenest fresh smokey,Enfant Bébé,Accessoire soins,,,"[ 0.01629988  0.06952047  0.03229811 ... -0.00475814 -0.009601
  0.02090721]",0.33555192,0.12786391,False,True,Enfant Bébé,0.335551917552948,Cale bébé,0.534732460975647
armoire penderie cube multi rangements 10 cubes 2 etageres autocollants decoratifs 111l x 47l x 145h cm blanc,Chambre Literie,Armoire lit,['blanc'],,"[ 0.01066664 -0.0400486   0.01061219 ...  0.0142908   0.02530445
 -0.03013461]",0.24289882,0.38141906,False,False,Chambre Literie,0.418331116437912,Armoire lit,0.49822521209716797
portant v tements metal noir bois,Bureau Rangement,Accessoire dressing,['noir'],,"[-0.05645873 -0.00156469 -0.03608681 ... -0.03108091  0.03926608
  0.004699  ]",0.1214509,0.32892036,False,False,Bureau Rangement,0.1986120194196701,Accessoire dressing,0.47345003485679626
iris t6 commode chambre 6 tiroirs 139x70x43cm meuble rangement style scandinave aspect bois sonoma,Chambre Literie,Commode,,,"[ 0.00918768 -0.00317643  0.0169301  ... -0.00528743  0.00493658
 -0.01867546]",0.3824684,0.28835243,False,False,Chambre Literie,0.4170989990234375,Commode,0.4961724281311035
table a manger ronde bois salle a manger scandinave table bois a quatre pieds 80 80 73cm gris,Canapé Salon Séjour,Table,['gris'],['73cm'],"[ 0.09021889 -0.00020538 -0.04352288 ... -0.00241935  0.04119856
  0.00638956]",0.17770696,0.35393694,False,False,Canapé Salon Séjour,0.2290182113647461,Table,0.37682193517684937
housse couette enfant 140 x 200 cm tapis danseuse etoile,Décoration Textile,Housse de couette,,"['140 x 200 cm', '200 cm']","[-0.01049817 -0.04125262  0.00157813 ...  0.02178937  0.01929026
 -0.04236697]",0.3456395,0.50043046,False,False,Décoration Textile,0.3708946108818054,Housse de couette,0.549026370048523
surmatelas top confort memoire forme souple 58 kg m3 80x190 x 4 5 cm alese dehoussable entretien facile anallergique a,Chambre Literie,Matelas,,"['80x190', '5 cm']","[-0.02215954  0.00502994  0.03636902 ... -0.0086184  -0.0342075
 -0.01510298]",0.28723395,0.4427151,False,False,Chambre Literie,0.28723394870758057,Matelas,0.5213687419891357
banc rangement velours coffre rangement tabouret pieds metallique design moderne luxueux ideal salon chambre sal,Bureau Rangement,Coffre,,,"[ 0.04436552 -0.0300103   0.01765275 ...  0.01412245  0.00785358
  0.00597486]",0.50915587,0.38647574,False,False,Bureau Rangement,0.5091558694839478,Coffre,0.5947679281234741
meuble tv blanc bois ch nashville,Canapé Salon Séjour,Meuble tv,['blanc'],,"[ 0.04065522  0.00190761  0.00658035 ... -0.04684511  0.03037845
 -0.08107484]",0.30478472,0.63031423,False,False,Canapé Salon Séjour,0.3706929385662079,Meuble tv,0.6303142309188843
vittoria meuble entree contemporain 6 crochets miroir rangement chaussures 180x85x24 vestiaire aspect bois ch,Bureau Rangement,Meuble à chaussures,,,"[-0.00750664 -0.00289322  0.01408131 ... -0.01383871  0.02290997
  0.01028662]",0.34367153,0.5342562,False,False,Bureau Rangement,0.3436715304851532,Meuble à chaussures,0.5342562198638916
meuble tv banc tv bianko 140 cm noyer caravaggio noir brillant led,Canapé Salon Séjour,Meuble tv,['noir'],['140 cm'],"[ 0.05283086 -0.00089069  0.00954242 ... -0.02087177 -0.01277017
 -0.04500492]",0.31170863,0.5423115,False,False,Canapé Salon Séjour,0.332925021648407,Meuble tv,0.5608335733413696
vasagle desserte style industriel chariot cuisine pieds reglables roulettes etagere cuisine etageres metall,Cuisine Salle de bain,Buffet de cuisine,,,"[ 0.00682237  0.00232402 -0.01702614 ...  0.00733217  0.01789655
  0.02250348]",0.39743203,0.50740683,False,False,Cuisine Salle de bain,0.39743202924728394,Buffet de cuisine,0.5108209848403931
sommier bedkit 160x200 noir mat,Chambre Literie,Sommier,['noir'],['160x200'],"[ 0.04937701  0.02354885 -0.00114631 ... -0.01886522 -0.00445762
 -0.00169152]",0.42805177,0.4963514,False,False,Chambre Literie,0.42805176973342896,Sommier,0.5611155033111572
meuble tv banc tv elegant double 2x100 cm noir mat noir brillant led style moderne,Canapé Salon Séjour,Meuble tv,['noir'],,"[ 0.03075241 -0.00490231  0.01405314 ...  0.01279299 -0.00077633
  0.00046057]",0.2827878,0.559417,False,False,Canapé Salon Séjour,0.3338959813117981,Meuble tv,0.5696709752082825
aspirateur sans sac multi cyclone singer vc3800 eco double 2 1 souffleur,Petit Electroménager,Aspirateur traineau,,,"[ 0.00359446  0.03351434  0.01808    ...  0.00327963 -0.05074888
 -0.05469461]",0.17681104,0.42525566,False,False,Petit Electroménager,0.22546535730361938,Aspirateur traineau,0.5969098806381226
jardipolys table preparation bois 2 portes,Jardin Loisirs Sport,Serre de jardin,,,[0.04781312 0.02177876 0.00970811 ... 0.0087964  0.03654683 0.03897122],0.2624589,0.38498408,False,False,Jardin Loisirs Sport,0.2624588906764984,Serre de jardin,0.42223072052001953
matelas orbit 80x190 cm technologie hq active latex memoire forme visco v90 haute densite 20 cm,Bureau Rangement,Meuble à chaussures,,"['80x190 cm', '20 cm']","[-6.5845023e-05  2.4823112e-02 -5.9576798e-03 ...  4.2759934e-03
 -2.5367443e-02 -3.7635940e-03]",0.093468115,0.15598822,False,True,Bureau Rangement,0.27933812141418457,Surmatelas,0.42954105138778687
chiffonnier paris commode 5 tiroirs pin massif lasure blanc,Chambre Literie,Commode,['blanc'],,"[ 0.03753355 -0.00761562  0.01140809 ...  0.00658613  0.04035841
  0.00970888]",0.26011443,0.23602684,False,False,Chambre Literie,0.35467594861984253,Commode,0.4124949872493744
matelas 60x120 cm matelas bebe confort,Chambre Literie,Matelas,,['60x120 cm'],"[ 0.00751077  0.02896977  0.01853492 ... -0.00227754 -0.00377972
  0.02014702]",0.42787826,0.53191054,False,False,Chambre Literie,0.4278782606124878,Matelas,0.5769059658050537
lot 2 chaises design rouge velta,Canapé Salon Séjour,Chaise,['rouge'],,"[ 0.02954037 -0.05585474  0.03006436 ...  0.00696044 -0.00167742
 -0.0342963 ]",0.21418664,0.500322,False,False,Canapé Salon Séjour,0.24082255363464355,Chaise,0.5548169016838074
pack 8en1 lit junior toy story matelas oreiller couette taie housse couette drap housse,Enfant Bébé,Lit jeune,,,"[-0.05784296  0.05572123  0.01156927 ...  0.02540946 -0.01269241
 -0.00717306]",0.24146229,0.58170116,False,False,Enfant Bébé,0.5646103024482727,Lit jeune,0.6095173358917236
matelas 180x190 ferme,Chambre Literie,Matelas,,['180x190'],"[ 0.03900325  0.03987157  0.04190749 ...  0.00285153 -0.03834975
  0.01048404]",0.3910899,0.53146183,False,False,Chambre Literie,0.39108988642692566,Matelas,0.5437703132629395
commode 6 tiroirs coeurs,Bureau Rangement,Mini commode,,,"[ 0.03915166  0.01966351  0.0437758  ...  0.05344287 -0.01955704
  0.00292698]",0.3484249,0.4654226,False,False,Bureau Rangement,0.3573382496833801,Mini commode,0.487582266330719
tipi deco enfant phosphorescent 160cm rose,Enfant Bébé,Lit bébé,['rose'],['160cm'],"[ 0.0379615  -0.04780686  0.02087065 ... -0.0087312  -0.01556167
  0.02760667]",0.25917497,0.2887129,False,False,Enfant Bébé,0.25917497277259827,Lit bébé,0.39228570461273193
meuble bas tv led sejour blanc mate noir laque dim 150 x 40 x 42cm,Canapé Salon Séjour,Meuble tv,"['blanc', 'noir']","['150 x 40', '42cm']","[ 0.04644983  0.00363454  0.01488449 ... -0.04030919  0.00317909
 -0.03083214]",0.3039647,0.55170906,False,False,Canapé Salon Séjour,0.3126256465911865,Meuble tv,0.5707910060882568
miroir aspect beton 139 x 55 cm,Décoration Textile,Miroir,,"['139 x 55 cm', '55 cm']","[ 0.007866   -0.04941175  0.00200183 ... -0.05006822 -0.02180498
 -0.03053217]",0.13950524,0.5038224,False,False,Décoration Textile,0.23481489717960358,Miroir,0.5115959048271179
bibliotheque 3 portes 3 portes vitrees finition merisier florie,Bureau Rangement,Bibliotheque,,,"[ 0.02689803  0.01540662 -0.00283523 ...  0.0300496   0.04769895
  0.00443697]",0.20110905,0.4905414,False,False,Bureau Rangement,0.2702856957912445,Bibliotheque,0.5194391012191772
lit superpose tom 90x190 gris gris livre sommier,Enfant Bébé,Lit jeune,['gris'],['90x190'],"[ 0.0159047   0.05726915  0.01619532 ...  0.02383917 -0.01942914
 -0.00325363]",0.07608557,0.35624677,False,False,Enfant Bébé,0.40927231311798096,Lit jeune,0.5223657488822937
commode trunk hinsk console appoint 3 tiroirs industrielle sellette salon bois acier 35x60x77cm,Bureau Rangement,Mini commode,['gris'],,"[ 0.04627421  0.01267641  0.01258575 ... -0.00802556  0.05069969
 -0.00109618]",0.35291398,0.4590115,False,False,Bureau Rangement,0.3529139757156372,Mini commode,0.47476106882095337
ecg 169 appareil a sandwiches anti adhesif 700w,Petit Electroménager,Croque gaufre,,,"[ 0.01185396  0.00042041 -0.02791274 ... -0.00617976 -0.01147469
  0.01914553]",0.0907999,0.2873472,False,False,Petit Electroménager,0.17534756660461426,Croque gaufre,0.3694654703140259
meuble colonne salle bain style meuble rangement a portes etageres bois composite 155 x 62 x 20 cm blanc casa,Cuisine Salle de bain,Rangement sdb,['blanc'],"['155 x 62', '20 cm']","[ 0.03712258  0.00066352  0.01428175 ... -0.03115632  0.03316623
  0.00810181]",0.48426303,0.52802944,False,False,Cuisine Salle de bain,0.48426303267478943,Rangement sdb,0.6229260563850403
huawei p30 6gb 128gb aurora blue dual sim ele l29,TV Son Multimédia,Smartphone,,,"[ 0.03772458 -0.01682135  0.02418176 ... -0.01866158  0.01097111
 -0.01205385]",0.04095312,0.20676406,True,False,TV Son Multimédia,0.10762159526348114,Smartphone,0.2965657711029053
housse couette reversible taie oreiller percale coton nausica taille 240 x 260 cm,Décoration Textile,Housse de couette,,"['240 x 260 cm', '260 cm']","[ 0.01993451  0.05087614  0.0184391  ... -0.02957231  0.0409812
 -0.03235377]",0.34975284,0.65010846,False,False,Décoration Textile,0.3702414035797119,Housse de couette,0.6501084566116333
pouf repose pieds velours bordeaux metal dore,Canapé Salon Séjour,Pouf / repose pied,['rouge'],,"[ 0.04718962 -0.02562896  0.01650432 ...  0.02576724  0.04054142
  0.04103732]",0.27351797,0.65329814,False,False,Canapé Salon Séjour,0.2735179662704468,Pouf / repose pied,0.6532981395721436
lot 2 tabourets bar chrome rev tement tissu gris ljb15g,Canapé Salon Séjour,Tabouret,"['argenté', 'gris']",,"[ 0.0206584  -0.04062511  0.02616055 ...  0.02394705 -0.01700338
  0.014073  ]",0.17942497,0.52454996,False,False,Canapé Salon Séjour,0.27881813049316406,Tabouret,0.5245499610900879
venice commode spacieuse moderne 5 tiroirs design minimaliste dimensions 111x40x45 faces tiroirs sans poignee ch,Chambre Literie,Commode,,,"[ 0.00892602  0.01447596  0.01847946 ...  0.01746977 -0.00551281
 -0.00053202]",0.25814074,0.34664696,False,False,Chambre Literie,0.4280502200126648,Commode,0.48224133253097534
tahiti pack matelas lattes 90x190,Chambre Literie,Matelas + sommier,,['90x190'],"[-0.02927486  0.01475274  0.01940721 ... -0.02405645 -0.03314301
 -0.03108168]",0.30555207,0.5326568,False,False,Chambre Literie,0.30555206537246704,Matelas + sommier,0.5326567888259888
egouttoir pliable cadre bois 321845,Décoration Textile,Rangement a poser,,,"[ 0.03755165  0.01218048  0.04717084 ... -0.02760089  0.03043763
  0.00362572]",0.16550538,0.34143323,False,False,Décoration Textile,0.3333243727684021,Rangement a poser,0.4374452829360962
housse coussin 100 coton 40 x 40 cm effet trame passepoil beige,Décoration Textile,Housse de coussin,['beige'],"['40 x 40 cm', '40 cm']","[ 0.0214546   0.03951643 -0.00728509 ... -0.01868086  0.03385518
 -0.0262225 ]",0.4007802,0.6708314,False,False,Décoration Textile,0.40078020095825195,Housse de coussin,0.6708313822746277
protege oreiller mixte 80 coton 20 polyester impermeabilise blanc 50x70 cm,Chambre Literie,Protege oreiller,['blanc'],['50x70 cm'],"[-0.03691275 -0.00143005 -0.02225477 ... -0.02114426  0.02352722
  0.0088862 ]",0.19667162,0.5805398,False,False,Chambre Literie,0.22387365996837616,Protege oreiller,0.5805398225784302
protege matelas impermeable 100x190 cm arnaud molleton contrecolle polyurethane micro respirant bonnet 30cm,Chambre Literie,Accessoire ch adulte,,"['100x190 cm', '30cm']","[-6.0398087e-02  4.3841018e-03  2.5101654e-02 ... -3.0424744e-02
 -1.5877355e-02 -7.4689284e-05]",0.28736475,0.18219623,False,False,Chambre Literie,0.28736475110054016,Accessoire ch adulte,0.6681619882583618
lit loft lin gris 160x200 cm 4 tiroirs,Chambre Literie,Lit adulte,"['beige', 'gris']",['160x200 cm'],"[-0.01881912  0.01246922  0.02943024 ...  0.00580528  0.0140246
  0.02731325]",0.5085991,0.48247993,False,False,Chambre Literie,0.5085991024971008,Lit adulte,0.572133481502533
fauteuil hilda fauteuil tissu orange scandinave 62 x p 60 cm,Canapé Salon Séjour,Fauteuil,['orange'],['60 cm'],"[ 0.02866421  0.0156534  -0.01487462 ... -0.03698181  0.02085787
 -0.02644132]",0.28989643,0.53742707,False,False,Canapé Salon Séjour,0.2898964285850525,Fauteuil,0.5374270677566528
cloudy tapis enfant rond a motifs nuages rose 120 x 120 cm,Enfant Bébé,Tapis enfant,['rose'],"['120 x 120 cm', '120 cm']","[ 0.0354314  -0.05073577  0.03139513 ... -0.01942918  0.03116589
  0.02198111]",0.26953113,0.5318499,False,False,Enfant Bébé,0.26953113079071045,Tapis enfant,0.5318499207496643
plante artificielle bonsai 80cm,Décoration Textile,Fleurs artificielles,,['80cm'],"[ 0.06089729 -0.04122648 -0.03373421 ... -0.00100617 -0.00253549
 -0.0324526 ]",0.10727598,0.3732974,False,False,Décoration Textile,0.21539263427257538,Fleurs artificielles,0.39049267768859863
meuble cuisine a epices 15cm ch,Cuisine Salle de bain,Meuble bas cuisine,,['15cm'],"[ 0.02743533 -0.02496833  0.00498313 ...  0.00087287  0.01263052
  0.02423564]",0.4436382,0.47456208,False,False,Cuisine Salle de bain,0.4436382055282593,Meuble bas cuisine,0.557478666305542
tosel petit trompeta lampe a poser verre acier vert pomme transparent 1xe27 abat jour cylindrique tissu vert lo25xl,Décoration Textile,Lampe,"['vert', 'gris']",,"[ 0.02739776  0.05025216 -0.0002896  ...  0.01739206 -0.00766119
  0.00042765]",0.20882176,0.40742904,False,False,Décoration Textile,0.20882175862789154,Lampe,0.50123530626297
tapis enfant 100x150 cm rectangulaire connecte cirque multicolore chambre adapte chauffage sol,Enfant Bébé,Tapis enfant,,['100x150 cm'],"[ 0.01602528 -0.00279469 -0.00104915 ... -0.00760839  0.03046654
  0.00831975]",0.18536335,0.48712385,False,False,Enfant Bébé,0.3026264011859894,Tapis enfant,0.5091466903686523
centrale vapeur,Petit Electroménager,Centrale vapeur,,,"[ 0.02873954  0.10486469 -0.00828914 ... -0.0285644  -0.03232661
 -0.01944854]",0.17426415,0.9266381,False,False,Petit Electroménager,0.23647832870483398,Centrale vapeur,0.926638126373291
vidaxl miroir autoportant rectangulaire pleine longueur gris,Décoration Textile,Miroir,['gris'],,[0.01072351 0.02049108 0.03690426 ... 0.00904305 0.0292969  0.01775453],0.16698852,0.52145696,False,False,Décoration Textile,0.2172522097826004,Miroir,0.5298305749893188
roba table a langer pliable murale lovely bear,Enfant Bébé,Table a langer,,,"[ 0.04790794  0.01985144  0.02298436 ...  0.04374578 -0.02560444
  0.04588453]",0.23778027,0.6331564,False,False,Enfant Bébé,0.23778027296066284,Table a langer,0.633156418800354
dream banquette clic clac 3 places tissu noir style contemporain 190 x p 92 cm,Canapé Salon Séjour,Structure et mat cc,['noir'],['92 cm'],"[ 0.01017037  0.0358787  -0.02525187 ...  0.02284523  0.03576255
 -0.02411689]",0.5124548,0.29718798,False,False,Canapé Salon Séjour,0.5124548077583313,Structure et mat cc,0.5846499800682068
peluche coussin moelleux emoji content,Enfant Bébé,Peluche,,,"[-0.03335079  0.0047123   0.01301621 ...  0.02174517  0.02896074
  0.00824559]",0.1645495,0.5183368,False,False,Enfant Bébé,0.3437466025352478,Peluche,0.6010602712631226
matelas 90 x 190 cm matelas mousse housse lavable double fermete matelas ergonomique epaisseur 15 cm,Chambre Literie,Matelas,,"['90 x 190 cm', '190 cm', '15 cm']","[-0.03430591  0.00794076  0.00480134 ... -0.01968087 -0.02245566
  0.03471359]",0.3581789,0.546123,False,False,Chambre Literie,0.35817891359329224,Matelas,0.6077566146850586
kit tringle extensible 120 a 210 cm patine ovali noir argent,Décoration Textile,Tringlerie,"['argenté', 'noir']",['210 cm'],"[ 0.02532263 -0.01732052 -0.0155143  ... -0.03604323  0.02715215
  0.01236076]",0.2388548,0.40389448,False,False,Décoration Textile,0.2388547956943512,Tringlerie,0.4319465756416321
tosel rachel lampe a poser 1 lumiere bleu,Décoration Textile,Lampe,['bleu'],,"[ 0.07142948  0.07918216  0.02710456 ...  0.0499152   0.00762057
 -0.04065657]",0.16395949,0.48100495,False,False,Décoration Textile,0.17950382828712463,Lampe,0.4810049533843994
top chef topc926 raclette 4 1 convivial design,Petit Electroménager,Appareil à raclette,,,"[ 0.01505595  0.00850546 -0.00616458 ... -0.00925105 -0.03596667
 -0.00315484]",0.12252149,0.55890894,False,False,Petit Electroménager,0.2897282838821411,Appareil à raclette,0.5589089393615723
repulsif ultrasons lot 2 pcs detecteur mouvement,Jardin Loisirs Sport,Accessoire cloture,,,"[-0.017263    0.0572723   0.07120515 ... -0.01957039 -0.02422515
 -0.01353997]",0.12817056,0.23952922,False,False,Jardin Loisirs Sport,0.26122400164604187,Accessoire cloture,0.5768494606018066
table chevet velours gris flayat,Chambre Literie,Chevet,['gris'],,"[ 0.03209637  0.02221059  0.00705855 ...  0.05136958  0.00642182
 -0.00480711]",0.36504894,0.29707617,False,False,Chambre Literie,0.36504894495010376,Chevet,0.4830612540245056
simpur relax matelas 120x190 imperial cachemire mousse memoire forme epaisseur 25 cm accueil moelleux ferme,Chambre Literie,Matelas,,"['120x190', '25 cm']","[ 0.00740247  0.02943682  0.05577455 ... -0.0210604  -0.00232451
 -0.0015785 ]",0.34016976,0.50757885,False,False,Chambre Literie,0.340169757604599,Matelas,0.5378482341766357
lit pliant 90x190 cm,Chambre Literie,Lit pliant,,['90x190 cm'],"[ 0.04135605  0.0229215  -0.01617165 ...  0.00866676 -0.04076746
 -0.00515956]",0.372303,0.7123659,False,False,Chambre Literie,0.3723030090332031,Lit pliant,0.7123659253120422
seche serviette bambou blanc,Cuisine Salle de bain,Porte serviette,['blanc'],,"[ 0.00410469  0.05770487  0.04124797 ...  0.02826217  0.04244107
 -0.00601862]",0.23739186,0.48417586,False,False,Cuisine Salle de bain,0.237391859292984,Porte serviette,0.703787088394165
armoire,Cuisine Salle de bain,Colonne sdb,,,"[ 0.05281769  0.03290548  0.04098783 ...  0.01465191 -0.00555209
 -0.01101348]",0.45330316,0.41177362,False,False,Cuisine Salle de bain,0.49179017543792725,Colonne sdb,0.8410621881484985
lot 50 sacs machine mise sous vide 30 x 40 cm,Petit Electroménager,Autre cuisson,,"['30 x 40 cm', '40 cm']","[-0.00851646  0.04196558  0.05977744 ... -0.0425289   0.0173557
  0.0080112 ]",0.13329805,0.11169438,False,True,Petit Electroménager,0.2598062753677368,Poubelle cuisine,0.3975580334663391
bellecour ensemble matelas privilege sommier bois 140x200,Chambre Literie,Matelas + sommier,,['140x200'],"[ 0.01079957  0.01339812 -0.05021446 ... -0.0056532  -0.0009342
 -0.01466025]",0.3796906,0.5363406,False,False,Chambre Literie,0.37969058752059937,Matelas + sommier,0.536340594291687
parasol jardin deporte alu sun 3 carre 3 x 3 gris housse protection,Jardin Loisirs Sport,Parasol,['gris'],,"[-0.00111856  0.05287661 -0.01682345 ... -0.00776932  0.04047457
  0.00283796]",0.256585,0.50346273,False,False,Jardin Loisirs Sport,0.2565850019454956,Parasol,0.5181444883346558
first shaty tapis toucher laine extra doux noir 133x190,Décoration Textile,Tapis de Salon et Ch,['noir'],['133x190'],"[ 0.00526214 -0.02415774  0.01488868 ...  0.00180103  0.00533907
 -0.02106655]",0.32554445,0.5469052,False,False,Décoration Textile,0.32554444670677185,Tapis de Salon et Ch,0.5469052195549011
matelas 140x190 x 18 5 cm tres soutien ferme mousse 30 kg m3 hd haute resilience hypoallergenique,Chambre Literie,Matelas,,"['140x190', '5 cm']","[-0.01617432 -0.00733306  0.04052774 ... -0.00687061 -0.05089405
  0.006113  ]",0.32257652,0.525599,False,False,Chambre Literie,0.32257652282714844,Matelas,0.5427590608596802
